team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4060,Chyna Jr,Ian Happ,18479,OF,19,hitters,18479,17919,17919,Ian Happ,764.0
4060,Chyna Jr,Taylor Ward,22048,OF,13,hitters,22048,17548,17548,Taylor Ward,782.1
4060,Chyna Jr,Gleyber Torres,18487,2B,12,hitters,18487,16997,16997,Gleyber Torres,777.1
4060,Chyna Jr,Brent Rooker,23793,OF,12,hitters,23793,19627,19627,Brent Rooker,920.6
4060,Chyna Jr,Jackson Merrill,40142,OF,11,hitters,40142,29490,29490,Jackson Merrill,754.7
4060,Chyna Jr,Matt Chapman,18378,3B,10,hitters,18378,16505,16505,Matt Chapman,760.9
4060,Chyna Jr,Francisco Alvarez,37427,C,7,hitters,37427,26121,26121,Francisco Alvarez,532.8
4060,Chyna Jr,Jac Caglianone,45720,1B/OF,6,hitters,45720,35041,35041,Jac Caglianone,582.3
4060,Chyna Jr,Miguel Vargas,34804,1B/3B,5,hitters,34804,20178,20178,Miguel Vargas,658.2
4060,Chyna Jr,Xander Bogaerts,13117,SS,5,hitters,13117,12161,12161,Xander Bogaerts,652.0
4060,Chyna Jr,Charlie Condon,45715,1B,4,hitters,45715,sa3025257,sa3025257,Charlie Condon,183.6
4060,Chyna Jr,Jeff Mcneil,18644,2B/OF,4,hitters,18644,15362,15362,Jeff McNeil,592.4
4060,Chyna Jr,Kevin McGonigle,44223,SS,3,hitters,,,,,421.5
4105,Titty City,Austin Riley,22674,3B,28,hitters,22674,18360,18360,Austin Riley,915.5
4105,Titty City,Wyatt Langford,43896,OF,20,hitters,43896,33333,33333,Wyatt Langford,850.2
4105,Titty City,Bryan Reynolds,23825,OF,16,hitters,23825,19326,19326,Bryan Reynolds,728.8
4105,Titty City,Eugenio Suarez,9668,3B,12,hitters,9668,12552,12552,Eugenio Suárez,705.9
4105,Titty City,Salvador Perez,8626,C/1B,10,hitters,8626,7304,7304,Salvador Perez,722.5
4105,Titty City,Wilyer Abreu,27058,OF,9,hitters,27058,23772,23772,Wilyer Abreu,632.1
4105,Titty City,Agustin Ramirez,36325,C,8,hitters,36325,26546,26546,Agustín Ramírez,548.7
4105,Titty City,Jakob Marsee,42169,OF,8,hitters,42169,31370,31370,Jakob Marsee,613.4
4105,Titty City,Bryson Stott,37531,2B/SS,8,hitters,37531,26294,26294,Bryson Stott,669.1
4105,Titty City,Sal Stewart,42358,1B/3B,6,hitters,,,,,571.4
4105,Titty City,Dylan Beavers,42279,OF,6,hitters,,,,,448.9
