playerid,PlayerName,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
13164,Eduardo Rodriguez,30.68,22.68,133.511,0.0,0.6573,513.8,ARI,2026,pit,SP
31757,Mason Miller,66.0,0.0,66.0,31.601,1.9898,605.0000000000001,SDP,2026,pit,RP
16256,Kyle Freeland,29.16,29.16,167.643,0.0,0.0,486.6,COL,2026,pit,SP
13774,Zach Eflin,35.3,24.3,147.79,0.0,0.6582,535.9000000000001,BAL,2026,pit,SP
31623,Jacob Misiorowski,32.3,24.3,139.252,0.0,0.6166,578.6000000000001,MIL,2026,pit,SP
31475,Logan Henderson,39.82,17.82,122.321,0.0,0.6166,495.70000000000016,MIL,2026,pit,RP
35323,Roki Sasaki,37.82,17.82,117.392,0.0,0.7767,465.9000000000002,LAD,2026,pit,RP
25098,Jacob Lopez,22.68,22.68,124.034,0.0,0.0,458.89999999999986,ATH,2026,pit,SP
31838,Kodai Senga,35.44,19.44,123.466,0.0,0.7168,517.5,NYM,2026,pit,SP
30182,Will Warren,43.06,21.06,133.902,0.0,0.6905,550.0,NYY,2026,pit,RP
15823,Zack Littell,24.3,24.3,144.355,0.0,0.0,476.4000000000001,,2026,pit,SP
23335,Joey Cantillo,54.06,21.06,148.827,0.0,0.6803,618.5000000000001,CLE,2026,pit,RP
29837,Bryce Miller,25.92,25.92,143.442,0.0,0.0,536.2,SEA,2026,pit,SP
16358,Tyler Mahle,25.92,25.92,147.981,0.0,0.0,572.4000000000001,SFG,2026,pit,SP
23796,Ryan Weathers,37.44,19.44,124.313,0.0,0.6905,516.4999999999999,NYY,2026,pit,SP
24494,Simeon Woods Richardson,32.3,24.3,139.042,0.0,0.6401,488.9000000000002,MIN,2026,pit,SP
12730,Nick Martinez,47.06,21.06,144.26,0.0,0.6597,514.3000000000002,TBR,2026,pit,RP
31986,Parker Messick,22.68,22.68,129.165,0.0,0.0,507.59999999999997,CLE,2026,pit,SP
29869,Michael McGreevy,32.68,22.68,139.373,0.0,0.6733,521.4000000000002,STL,2026,pit,SP
21448,Davis Martin,27.54,27.54,159.071,0.0,0.0,506.2000000000001,CHW,2026,pit,SP
30113,Chad Patrick,25.92,25.92,147.977,0.0,0.0,519.3000000000001,MIL,2026,pit,SP
17312,Justin Steele,14.58,14.58,82.9657,0.0,0.0,368.40000000000003,CHC,2026,pit,SP
22294,Matthew Liberatore,27.54,27.54,157.409,0.0,0.0,573.5,STL,2026,pit,SP
26108,Andre Pallante,24.3,24.3,136.298,0.0,0.0,485.5000000000001,STL,2026,pit,SP
14168,José Berríos,51.44,19.44,142.763,0.0,0.6524,532.5000000000001,TOR,2026,pit,RP
19479,Aaron Civale,24.3,24.3,133.718,0.0,0.0,448.1999999999999,ATH,2026,pit,SP
33927,Grant Taylor,80.24,3.24,94.7429,4.855,14.9137,557.6,CHW,2026,pit,RP
31843,Kumar Rocker,42.2,16.2,113.033,0.0,0.6589,461.8,TEX,2026,pit,RP
22487,Johan Oviedo,42.58,14.58,107.997,0.0,0.6763,426.2,BOS,2026,pit,RP
31872,Cade Horton,24.3,24.3,134.044,0.0,0.0,495.6999999999999,CHC,2026,pit,SP
21029,Jhoan Duran,70.0,0.0,70.0,28.61,3.0842,555.9,PHI,2026,pit,RP
19447,Patrick Sandoval,51.72,9.72,95.726,0.0,0.6763,426.4000000000001,BOS,2026,pit,RP
3137,Max Scherzer,36.2,16.2,108.498,0.0,0.6524,435.6000000000001,TOR,2026,pit,RP
14120,Lance McCullers Jr.,33.44,19.44,116.459,0.0,0.6557,428.1000000000001,HOU,2026,pit,SP
20253,Griffin Jax,68.0,0.0,68.0,11.831,9.9415,492.0000000000001,TBR,2026,pit,RP
9803,Miles Mikolas,25.92,25.92,147.404,0.0,0.0,454.7999999999999,WSN,2026,pit,SP
16944,Grant Holmes,35.44,19.44,124.15,0.0,0.6487,498.19999999999993,ATL,2026,pit,SP
31972,Brad Lord,39.68,22.68,143.085,0.0,0.6461,510.20000000000005,WSN,2026,pit,SP
27500,Slade Cecconi,27.54,27.54,157.398,0.0,0.0,535.6,CLE,2026,pit,SP
14710,Edwin Díaz,66.0,0.0,66.0,35.779,2.9576,570.5000000000001,LAD,2026,pit,RP
sa3020707,Robby Snelling,16.2,16.2,92.34,0.0,0.0,350.3,MIA,2026,pit,SP
30076,Landen Roupp,30.68,22.68,129.902,0.0,0.6625,525.9,SFG,2026,pit,SP
20099,Chris Paddack,39.06,21.06,132.938,0.0,0.6387,455.30000000000007,MIA,2026,pit,SP
14843,Michael Lorenzen,25.92,25.92,148.909,0.0,0.0,419.90000000000015,COL,2026,pit,SP
12718,Adrian Houser,25.92,25.92,147.313,0.0,0.0,513.8999999999999,SFG,2026,pit,SP
19350,Dean Kremer,40.06,21.06,137.152,0.0,0.6582,481.60000000000014,BAL,2026,pit,SP
27867,Cade Smith,70.0,0.0,70.0,29.937,3.297,551.9,CLE,2026,pit,RP
11423,Jose Quintana,25.92,25.92,147.773,0.0,0.0,376.30000000000007,COL,2026,pit,SP
27779,Bryce Elder,27.06,21.06,124.097,0.0,0.6487,442.99999999999994,ATL,2026,pit,SP
27889,J.T. Ginn,35.72,9.72,78.4178,0.0,0.6384,326.9,ATH,2026,pit,RP
22210,Jeremiah Estrada,70.0,0.0,70.0,0.0,14.9643,432.8,SDP,2026,pit,RP
10233,Aroldis Chapman,62.0,0.0,62.0,31.078,1.9351,513.0,BOS,2026,pit,RP
33174,Hunter Barco,45.34,11.34,98.638,0.0,0.6584,397.29999999999995,PIT,2026,pit,RP
32227,Luis Morales,33.44,19.44,122.969,0.0,0.6384,424.6000000000001,ATH,2026,pit,SP
15474,Lucas Giolito,22.68,22.68,132.897,0.0,0.0,451.1000000000001,,2026,pit,SP
27932,Ian Seymour,42.96,12.96,103.055,0.0,0.6597,417.50000000000006,TBR,2026,pit,RP
18383,Michael Soroka,52.34,11.34,102.289,2.26,0.6179,450.6,ARI,2026,pit,RP
16609,Bryan Abreu,68.0,0.0,68.0,5.352,12.5359,441.90000000000003,HOU,2026,pit,RP
33876,Rhett Lowder,32.2,16.2,107.674,0.0,0.6505,364.2000000000001,CIN,2026,pit,SP
29878,Sean Burke,25.92,25.92,142.05,0.0,0.0,449.9,CHW,2026,pit,SP
27589,Logan Allen,29.06,21.06,122.88,0.0,0.6803,403.6000000000001,CLE,2026,pit,SP
29608,Joe Boyle,29.34,11.34,78.3426,0.0,0.6597,352.20000000000005,TBR,2026,pit,RP
17606,Cristian Javier,27.54,27.54,157.49,0.0,0.0,482.69999999999993,HOU,2026,pit,SP
29812,Robert Gasser,37.34,11.34,89.1128,0.0,0.6166,340.1,MIL,2026,pit,RP
