team_id,team_name,player_name,fg_id,position,salary,player_type
4149,Big Trouble,Randy Arozarena,23840,OF,23,hitters
4149,Big Trouble,Alex Bregman,18480,3B,23,hitters
4149,Big Trouble,Jazz Chisholm Jr.,23762,2B/3B,17,hitters
4149,Big Trouble,Freddie Freeman,5680,1B,15,hitters
4149,Big Trouble,CJ Abrams,36922,SS,13,hitters
4149,Big Trouble,George Springer,18124,OF,12,hitters
4149,Big Trouble,Ceddanne Rafaela,33907,2B/OF,9,hitters
4149,Big Trouble,Pete Crow-Armstrong,38327,OF,9,hitters
4149,Big Trouble,Jung Hoo Lee,44524,OF,9,hitters
4149,Big Trouble,Adley Rutschman,37257,C,8,hitters
4149,Big Trouble,Brooks Lee,42146,2B/SS/3B,7,hitters
4149,Big Trouble,Matt Shaw,43966,3B,5,hitters
4149,Big Trouble,Spencer Steer,37216,1B/OF,5,hitters
4149,Big Trouble,Josh Lowe,23752,OF,5,hitters
4149,Big Trouble,Evan Carter,38389,OF,5,hitters
4149,Big Trouble,JJ Wetherholt,45713,2B/SS,4,hitters
4149,Big Trouble,Kyle Teel,43949,C,4,hitters
4149,Big Trouble,Yainer Diaz,26292,C,2,hitters
4149,Big Trouble,Shohei Ohtani,33600,Util/SP,87,pitchers
4149,Big Trouble,Hunter Brown,37201,SP,21,pitchers
4149,Big Trouble,Dylan Cease,21052,SP,19,pitchers
4149,Big Trouble,Josh Hader,18391,RP,16,pitchers
4149,Big Trouble,MacKenzie Gore,23810,SP,12,pitchers
4149,Big Trouble,Shota Imanaga,44526,SP,9,pitchers
4149,Big Trouble,Bryce Miller,40550,SP,9,pitchers
4149,Big Trouble,Chase Burns,45706,SP/RP,7,pitchers
4149,Big Trouble,Aroldis Chapman,5644,RP,6,pitchers
4149,Big Trouble,Jeremiah Estrada,27208,RP,5,pitchers
4149,Big Trouble,Fernando Cruz,8550,RP,4,pitchers
4149,Big Trouble,JoJo Romero,23818,RP,3,pitchers
4149,Big Trouble,Mike Burrows,35811,SP,3,pitchers
4149,Big Trouble,Taj Bradley,35367,SP,2,pitchers
4149,Big Trouble,Jose A. Ferrer,34396,RP,2,pitchers
4149,Big Trouble,Jurrangelo Cijntje,45990,SP,2,pitchers
4149,Big Trouble,Anthony Bender,32871,RP,1,pitchers
4149,Big Trouble,Dean Kremer,31819,SP,1,pitchers
4060,Chyna Jr,Rafael Devers,18344,1B,38,hitters
4060,Chyna Jr,Julio Rodriguez,33625,OF,36,hitters
4060,Chyna Jr,Francisco Lindor,18122,SS,35,hitters
4060,Chyna Jr,Cal Raleigh,33654,C,21,hitters
4060,Chyna Jr,Bryce Harper,14982,1B,21,hitters
4060,Chyna Jr,Ian Happ,18479,OF,19,hitters
4060,Chyna Jr,Taylor Ward,22048,OF,13,hitters
4060,Chyna Jr,Gleyber Torres,18487,2B,12,hitters
4060,Chyna Jr,Brent Rooker,23793,OF,12,hitters
4060,Chyna Jr,Jackson Merrill,40142,OF,11,hitters
4060,Chyna Jr,Matt Chapman,18378,3B,10,hitters
4060,Chyna Jr,Francisco Alvarez,37427,C,7,hitters
4060,Chyna Jr,Jac Caglianone,45720,1B/OF,6,hitters
