playerid,PlayerName,minpos,G,GS,IP,SV,HLD,FPTS,Team,season,stats,role
18510,Josh Rogers,P,1.0,0.0,1.0,0.0,0.0,2.3198602557182313,,2021,pit,RP
24094,Ronny Henriquez,P,0.19280000030994415,0.17180000245571136,1.0,0.0,0.0,1.5737799741327763,MIA,2021,pit,SP
sa3004470,Will Latcham,P,1.0,0.0,1.0,0.0,0.0,2.925866750627756,,2021,pit,RP
9654,Michael Blazek,P,1.0,0.0,1.0,0.0,0.0,2.991886850446462,,2021,pit,RP
sa656048,Eudis Idrogo,P,0.39149999618530273,0.12950000166893005,1.0,0.0,0.0,1.937593489140272,,2021,pit,RP
sa3006127,Carlos Guarate,P,0.20759999752044678,0.16859999299049377,1.0,0.0,0.0,1.7342932425439357,,2021,pit,SP
21527,James McArthur,P,0.3296000063419342,0.14259999990463257,1.0,0.0,0.0,1.9449932143092155,KCR,2021,pit,RP
19814,David McKay,P,1.0,0.0,1.0,0.0,0.0,3.350733218342066,,2021,pit,RP
5280,Esmerling Vasquez,P,0.24799999594688416,0.1599999964237213,1.0,0.0,0.0,1.6606066539883613,,2021,pit,SP
sa3004736,Jacob Heatherly,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.263346682488919,CHW,2021,pit,SP
sa827196,Nick Howard,P,1.0,0.0,1.0,0.0,0.0,2.572046756744385,,2021,pit,RP
sa875780,Travis Herrin,P,0.2694000005722046,0.15539999306201935,1.0,0.0,0.0,1.6714134797453886,,2021,pit,SP
sa919332,Kevin Lenik,P,1.0,0.0,1.0,0.0,0.0,3.047419868409634,,2021,pit,RP
sa3003084,Hector Soto,P,0.5069000124931335,0.10490000247955322,1.0,0.0,0.0,2.354013212025165,,2021,pit,RP
19545,Stephen Nogosek,P,1.0,0.0,1.0,0.0,0.0,3.3094866186380387,,2021,pit,RP
11502,Parker Bridwell,P,0.7939000129699707,0.04390000179409981,1.0,0.0,0.0,2.5605599924921987,,2021,pit,RP
9227,Koji Uehara,P,1.0,0.0,1.0,0.0,0.0,2.9732067123055463,,2021,pit,RP
2873,Santiago Casilla,P,1.0,0.0,1.0,0.0,0.0,2.9059267424046995,,2021,pit,RP
sa3010256,Avery Weems,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.4320000663399703,,2021,pit,SP
sa872514,Alberto Guerrero,P,0.18860000371932983,0.17260000109672546,1.0,0.0,0.0,1.7589665077626706,,2021,pit,SP
sa508195,Manuel Flores,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.5046598747372628,,2021,pit,SP
sa873148,Dalbert Siri,P,1.0,0.0,1.0,0.0,0.0,3.181993424892426,,2021,pit,RP
sa917880,Jeronimo Castro,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.6272198811173442,LAD,2021,pit,SP
sa917323,Jose Chacin,P,0.3312999904155731,0.14229999482631683,1.0,0.0,0.0,1.7461265951395042,,2021,pit,RP
sa3008618,Jin-Woo Kim,P,0.20679999887943268,0.1687999963760376,1.0,0.0,0.0,1.5875934407114984,,2021,pit,SP
9975,Tom Wilhelmsen,P,1.0,0.0,1.0,0.0,0.0,2.8255065403878694,SDP,2021,pit,RP
4920,Joe Colón J,P,1.0,0.0,1.0,0.0,0.0,3.0161799453198914,,2021,pit,RP
22224,Jonathan Heasley,P,0.2150000035762787,0.16699999570846558,1.0,0.0,0.0,1.6784067936241622,KCR,2021,pit,SP
15007,Yacksel Ríos,P,1.0,0.0,1.0,0.0,0.0,3.0631600938737393,CHC,2021,pit,RP
14399,Robinson Leyer,P,0.8234999775886536,0.03750000149011612,1.0,0.0,0.0,3.1176467821002007,,2021,pit,RP
13322,Jake Barrett,P,1.0,0.0,1.0,0.0,0.0,2.981100012362003,,2021,pit,RP
sa657885,Cristian Alvarado,P,1.0,0.0,1.0,0.0,0.0,3.086433477699757,,2021,pit,RP
sa592948,David Reyes,P,0.35440000891685486,0.13740000128746033,1.0,0.0,0.0,1.7824000164866445,,2021,pit,RP
6983,Drew Storen,P,1.0,0.0,1.0,0.0,0.0,2.7556867733597756,,2021,pit,RP
13946,Tim Peterson,P,1.0,0.0,1.0,0.0,0.0,2.9328199446201326,,2021,pit,RP
sa875683,Dustin Hurlbutt,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.5910465732216839,,2021,pit,SP
24486,Nick Allgeyer,P,0.18289999663829803,0.17389999330043793,1.0,0.0,0.0,1.6124066568911073,,2021,pit,SP
17942,Adonis Rosa,P,1.0,0.0,1.0,0.0,0.0,2.8300866723060603,,2021,pit,RP
25097,Garrett Hill,P,0.1754000037908554,0.1754000037908554,1.0,0.0,0.0,1.7264267392456532,,2021,pit,SP
