Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zack Kelly","BOS",2.35794,2.33632,0,4.31506,50.9946,0.00617786,0.0238847,7.03676,1.59804,54.7192,237.036,50.1269,28.5165,26.2351,6.58969,24.6146,1.52182,3.06146,52.5759,8.64748,4.04852,2.13596,1.08385,0.221806,0.103843,0.11796236038208008,0.23943,1.36591,0.289873,0.705554,,,4.29638,0.100822,0.0521919,999,1.13572,-0.861106,0.590087,1.13572,0.861106,4.21322,240.89999999999998,4.38,234,4.254545454545455,,,,,,,,,,,,,,,,,,,"Zack Kelly","20349",677161
"Tink Hence","STL",0.27129,0.526652,0.47206,4.39598,2.2979,1.93832,0,0,0,9.59516,41.2763,9.30309,5.09422,4.68669,1.26781,3.789,0.0803122,0.262307,8.26073,7.74834,3.55398,2.18019,1.18917,0.200132,0.0917959,0.10833649337291718,0.249915,1.36445,0.290119,0.706702,,,4.39764,0.100556,0.123034,999,1.37127,1.03354,1.3532,1.37127,-1.03354,3.19574,42.300000000000004,4.23,41,4.1,,,,,,,,,,,,,,,,,,,"Tink Hence","sa3014709",693311
"Dylan Dodd","ATL",1.78547,1.43063,0,4.19023,36.9597,0.0071293,0,3.01952,0.746099,41.1529,173.749,41.8308,20.8261,19.16,5.3618,10.9788,0.687956,1.18489,35.3483,7.73055,2.40103,3.21968,1.17261,0.203444,0.0631877,0.1402563452720642,0.258877,1.28325,0.301706,0.705989,,,3.99772,0.0998841,0.0767801,999,1.75354,-0.266218,0.926814,1.75354,0.266218,3.76425,178.70000000000005,4.358536585365854,186,4.536585365853658,,,,,,,,,,,,,,,,,,,"Dylan Dodd","29928",689266
"Rob Zastryzny","MIL",2.98842,2.10477,0,4.09093,44.3669,0.380861,0,3.75612,0.918689,43.6952,185.724,40.7198,21.5887,19.8616,5.82654,15.9093,2.00951,1.94224,39.8543,8.20889,3.27688,2.50509,1.20011,0.214589,0.085661,0.12892764806747437,0.242563,1.296,0.285561,0.722901,,,4.27007,0.0983379,0.109018,999,1.00088,-0.520077,0.802832,1.00088,0.520077,3.92956,187.20000000000002,4.254545454545455,184,4.181818181818182,,,,,,,,,,,,,,,,,,,"Rob Zastryzny","15094",642239
"Mitch Spence","KCR",1.36288,1.41741,0.0599443,4.40621,20.965,0.689816,0.0115177,1.79487,0,26.9565,115.989,28.0649,14.345,13.1974,3.50829,8.16941,0.534714,1.31136,21.6857,7.24024,2.72753,2.65451,1.17132,0.186964,0.0704325,0.11653105914592743,0.263499,1.34417,0.301996,0.698833,,,4.27321,0.097111,0.0651096,999,1.88123,-1.0056,1.06029,1.88123,1.0056,3.58628,102.80000000000003,3.8074074074074082,108,4,,,,,,,,,,,,,,,,,,,"Mitch Spence","27707",687765
"JR Ritchie","ATL",0.884735,0.905316,1.10566,4.5797,2.54765,2.54765,0,0,0,14.4388,62.9015,14.2508,7.98618,7.34728,1.90316,5.86592,0.055755,0.767699,11.9568,7.45291,3.65634,2.03835,1.18628,0.190088,0.0932558,0.09683210402727127,0.253268,1.39324,0.291165,0.69507,,,4.57074,0.0966768,0.0841954,999,0.346564,1.05316,1.22409,0.346564,-1.05316,3.36788,45.6,3.257142857142857,47,3.357142857142857,,,,,,,,,,,,,,,,,,,"JR Ritchie","sa3020395",702275
"Ron Marinaccio","SDP",1.84182,1.21003,0,4.24719,34.4372,0,0,1.50076,2.20364,38.2095,165.111,34.4788,19.5994,18.0315,4.73914,16.7953,0.511408,2.64698,36.2025,8.52725,3.95601,2.15552,1.11627,0.219262,0.101721,0.11754070967435837,0.236694,1.34192,0.283973,0.709569,,,4.37908,0.0953274,-0.0145857,999,1.13249,0.236916,0.871702,1.13249,-0.236916,3.83773,151.29999999999998,3.9815789473684204,145,3.8157894736842106,,,,,,,,,,,,,,,,,,,"Ron Marinaccio","23488",676760
"Paul Sewald","ARI",2.38242,2.98294,0,4.46138,51.4036,0,8.57563,10.153,3.92777,52.0194,218.414,47.7975,28.0288,25.7865,8.068,16.8909,0.999244,2.34905,51.8232,8.96606,2.92234,3.06811,1.39586,0.237271,0.0773346,0.15993601083755493,0.239979,1.24355,0.285244,0.686598,,,4.26851,0.0951243,-0.0260277,604.6699829101562,1.8871,-2.84726,0.999858,1.8871,2.84726,3.66686,293.59999999999997,5.646153846153846,288,5.538461538461538,,,,,,,,,,,,,,,,,,,"Paul Sewald","13892",623149
"Luinder Avila","KCR",1.52531,1.44221,0,4.08014,27.0547,0,0,1.16011,0,31.3752,135.916,29.3661,15.4608,14.2239,3.01352,13.552,0.501276,1.69583,28.381,8.14112,3.8874,2.09423,0.864432,0.208813,0.0997088,0.10910460352897644,0.243363,1.3679,0.295189,0.709507,,,4.03257,0.0941513,0.122648,999,2.04625,-0.531138,1.00387,2.04625,0.531138,3.66151,129.09999999999997,4.164516129032257,128,4.129032258064516,,,,,,,,,,,,,,,,,,,"Luinder Avila","24452",679883
"Anthony Nunez","BAL",1.17228,1.35474,0,4.07207,20.6024,0,0,0.994645,0,20.8146,88.6063,18.2594,10.2365,9.4176,2.47469,8.63409,0.526255,1.14239,21.8352,9.44132,3.73329,2.52896,1.07003,0.24643,0.0974433,0.1489865779876709,0.231631,1.29205,0.289522,0.710957,,,3.99175,0.0941075,0.0697192,999,1.12724,-2.42934,1.16726,1.12724,2.42934,3.44365,102.00000000000001,4.857142857142858,97,4.619047619047619,,,,,,,,,,,,,,,,,,,"Anthony Nunez","sa3010171",689296
