Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hunter Stratton","ATL",0.718577,0.585306,0,4.83009,19.374,0,0,0.6487,,20.776,91.0905,20.8781,11.92,11.15,2.72637,8.1277,0.430064,1.19255,18.8339,8.15871,3.52085,2.31725,1.18104,0.20676,0.0892266,0.11753387749195099,0.255326,1.39612,0.301473,0.678307,,,4.37386,0.0737284,-0.104219,999,,,,,,,78.9,3.7571428571428576,81,3.857142857142857,,,,,,,,,,,,,,,,,,,"Hunter Stratton","23455",676702
"Ryan Borucki","CHW",0.607662,0.497335,0,3.96054,15.241,0,0,0.5829,,15.407,64.8614,13.393,7.29,6.78,1.87647,5.40095,0.318698,1.08741,14.2969,8.35152,3.15497,2.6471,1.09614,0.220422,0.0832691,0.13715263456106186,0.229438,1.21983,0.272906,0.711575,,,4.12595,0.0724283,0.0858507,999,,,,,,,66.60000000000001,4.44,63,4.2,,,,,,,,,,,,,,,,,,,"Ryan Borucki","16350",621366
"Michel Otañez","TEX",0.83181,0.567546,0,4.07218,17.895,0,0,0.6589,,18.2335,79.6921,14.1297,8.77,8.25,1.96973,11.4654,0.545946,1.00274,21.7607,10.741,5.65927,1.89795,0.972252,0.27306,0.143871,0.12918904423713684,0.210188,1.40374,0.27958,0.736731,,,4.20401,0.0716733,0.0414598,999,,,,,,,84.20000000000002,4.677777777777779,76,4.222222222222222,,,,,,,,,,,,,,,,,,,"Michel Otanez","22533",671305
"Jordan Hicks","CHW",1.85003,1.92058,0,4.51153,48.594,0.45,1,8.6562,,54.8794,242.79,52.9668,29.4,27.51,4.93601,26.4515,1.17491,5.1431,44.9094,7.36497,4.33794,1.6978,0.809486,0.184973,0.108948,0.07602444291114807,0.250795,1.44714,0.297681,0.689832,,,4.39486,0.070657,-0.0264714,999,,,,,,,245.7,4.467272727272727,248,4.509090909090909,,,,,,,,,,,,,,,,,,,"Jordan Hicks","19618",663855
"Eli Morgan","KCR",0.941027,0.784186,0,4.57154,22.953,0,0,0.666,,24.9041,106.345,23.8647,13.56,12.65,3.71369,8.31501,0.452743,0.894034,21.0445,7.6052,3.00493,2.53091,1.34208,0.197889,0.0781889,0.11969991028308868,0.245683,1.29214,0.278414,0.690116,,,4.49299,0.0690891,-0.0951649,999,,,,,,,92.4,3.696,92,3.68,,,,,,,,,,,,,,,,,,,"Eli Morgan","20203",669212
"Ryan Webb","CLE",0.354136,0.53273,0.456504,4.77941,1.337,1.337,0,0,,6.8544,29.8465,6.95176,3.9,3.64,0.921511,2.59739,0.0208999,0.32328,5.44128,7.14454,3.41044,2.0949,1.20997,0.182309,0.087025,0.09528393298387527,0.258182,1.39314,0.293257,0.683996,,,4.5735,0.0682648,0.036766,999,,,,,,,22.3,3.185714285714286,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Ryan Webb","sa3018280",669067
"Nate Pearson","HOU",1.94848,1.51887,0,4.67036,43.741,0,0,4.3713,,47.309,205.709,43.1503,26.21,24.55,7.01206,20.365,1.24095,2.92913,46.1702,8.78337,3.87421,2.26714,1.33396,0.224445,0.0989993,0.12544558942317963,0.236551,1.34256,0.279638,0.694719,,,4.58726,0.0682109,-0.146486,999,,,,,,,188.90000000000003,4.019148936170214,183,3.893617021276596,,,,,,,,,,,,,,,,,,,"Nate Pearson","20160",663878
"Chad Green",,2.11925,2.47232,0,4.57021,38.099,0,1,0,,39.4249,167.172,37.2948,21.52,20.02,6.63309,11.8145,1.02761,1.59629,33.4711,7.64086,2.69704,2.83306,1.51421,0.20022,0.0706728,0.1295473352074623,0.24255,1.24564,0.269775,0.692798,,,4.64485,0.0678771,-0.164735,999,,,,,,,135.3,3.4692307692307693,133,3.41025641025641,,,,,,,,,,,,,,,,,,,"Chad Green","15552",643338
"Sean Guenther","DET",0.557947,0.50245,0,4.25407,14.332,0.127,0,0.6086,,15.3594,65.7031,15.2959,7.83,7.26,1.736,4.50914,0.361765,1.01603,12.2006,7.14906,2.64218,2.70575,1.01723,0.185693,0.0686289,0.11706359684467316,0.254178,1.28944,0.293243,0.689226,,,4.09496,0.0677536,-0.0164809,999,,,,,,,57.400000000000006,3.826666666666667,59,3.933333333333333,,,,,,,,,,,,,,,,,,,"Sean Guenther","20045",674944
"Jhony Brito","SDP",0.703023,0.548395,0,4.4211,16.631,0,0,0.6532,,18.4841,79.3733,18.7128,9.76,9.08,2.19851,5.76206,0.547133,0.73547,13.3017,6.47664,2.80558,2.30849,1.07047,0.167584,0.0725945,0.09498914331197739,0.256776,1.3241,0.287827,0.687708,,,4.29667,0.0671829,-0.0604212,999,,,,,,,68.20000000000002,3.7888888888888896,73,4.055555555555555,,,,,,,,,,,,,,,,,,,"Jhony Brito","25386",666745
