Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jeremy Peña","HOU",146.289,632.513,577.953,157.827,109.197,29.0025,1.93661,17.6909,81.6806,68.6462,37.0331,1.293,112.915,11.5404,3.73345,2.25285,12.0062,18.5048,4.47677,0.273079,0.0585492,0.178518,0.327973,0.327484,0.421791,0.325654,0.749275,0.148712,5.36651,0.310667,0.329614,0.834642,81.2065,6.47027,109.45,1.16426,0.681227,8.209356427192688,7.453859090805054,3.82989,91.52999877929688,2.60743,0.461783,0.672937,2.60743,-0.461783,4.10275,743.4,5.091780821,743.4,5.091780821,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Jackson Merrill","SDP",142.799,606.173,555.209,149.33,92.6047,30.492,4.09681,22.1369,77.2098,80.5386,39.7002,1.73742,118.602,3.57764,5.10625,2.5794,7.27156,7.78289,2.47434,0.268962,0.0654932,0.195658,0.334733,0.319103,0.458254,0.332831,0.777356,0.189291,4.80193,0.303148,0.89329,-0.342291,81.3567,9.73266,113.345,0.550999,4.27519,10.112202167510986,6.282989501953125,3.77643,71,1.66807,-0.0186464,0.564276,1.66807,0.0186464,4.24763,737.6,5.158041958,737.6,5.158041958,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Wyatt Langford","TEX",142.464,612.838,531.292,132.947,78.8649,27.5862,2.13588,24.3599,83.7101,74.208,71.5891,2.8323,143.486,5.41573,3.99856,0.542948,7.29057,22.7803,5.41156,0.250233,0.116816,0.234134,0.498927,0.342893,0.447747,0.342265,0.79064,0.197514,5.63611,0.29552,-0.0817411,1.32963,86.9455,14.534,121.723,1.24789,1.2448,16.938418745994568,-2.5787163972854614,3.62724,41.11000061035156,3.2651,-0.81247,0.583428,3.2651,0.81247,4.2221,792.7,5.582394366,792.7,5.582394366,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Pete Crow-Armstrong","CHC",147.45,619.699,562.66,138.29,81.9798,28.3443,4.94753,23.0184,84.2323,78.5729,34.6503,1.80522,149.768,8.31203,5.81827,8.25802,4.14203,33.657,7.68163,0.245779,0.0559148,0.241679,0.231359,0.296435,0.436471,0.313756,0.732906,0.190692,7.33704,0.291317,0.192534,2.77273,73.5747,0.352488,100.242,2.96526,9.03513,3.1424622237682343,11.310585975646973,3.62456,31.270000457763672,2.53574,-0.474223,1.12636,2.53574,0.474223,3.49819,706.9,4.808843537,706.9,4.808843537,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Shea Langeliers","ATH",128.289,525.927,478.388,121.238,66.0084,24.7817,1.24815,29.1996,69.5791,76.2146,39.0355,1.13317,119.226,3.76977,4.13097,0.602757,7.79969,5.57936,1.49321,0.25343,0.0742223,0.226697,0.327407,0.31227,0.493563,0.342759,0.805833,0.240133,3.83462,0.275486,-0.153726,-0.206495,74.8262,12.6838,120.166,-0.360222,-2.6183,12.174818336963654,4.640848875045776,3.54158,54.779998779296875,1.88886,0.585485,0.710405,1.88886,-0.585485,4.05279,688,5.375,688,5.375,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Alex Bregman","CHC",148.536,640.195,561.595,142.242,90.9216,27.6517,1.16075,22.5082,79.7339,79.1157,65.4116,1.74135,89.6435,7.97367,4.58022,0.635254,11.8249,2.24893,0.901555,0.253283,0.102174,0.140025,0.729686,0.33715,0.426892,0.332902,0.764041,0.173609,2.87978,0.263718,-0.588372,-0.992621,85.9602,10.3162,113.395,-1.58099,1.29148,8.554112195968628,3.583708167076111,3.45865,120.41999816894531,1.91736,0.615586,0.73327,1.91736,-0.615586,4.02231,756.3,5.075838926,756.3,5.075838926,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Bryce Harper","PHI",140.161,606.402,522.765,142.347,83.7077,31.7277,0.569672,26.3419,82.5664,84.3829,74.4557,7.58749,129.255,4.5912,4.21949,0.370734,9.87866,9.47531,3.38937,0.272297,0.122783,0.213151,0.576037,0.365318,0.486337,0.363796,0.851655,0.21404,3.62492,0.312356,0.315035,-0.517307,96.6326,24.9816,133.186,-0.202272,0.782938,23.649114593863487,-10.123055934906006,3.44805,49.560001373291016,1.82476,-1.69159,0.567179,1.82476,1.69159,4.24376,860.8,6.148571428,860.8,6.148571428,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Matt Chapman","SFG",145.39,612.267,531.438,126.305,73.2555,27.6026,2.04056,23.4059,80.9083,73.5973,70.0568,1.1417,151.219,6.69544,3.89158,0.185303,8.04274,8.73013,2.61632,0.237666,0.114422,0.246982,0.46328,0.331748,0.429412,0.331633,0.76116,0.191746,4.39653,0.285271,-0.211827,-0.30817,81.5791,9.23499,112.522,-0.519997,1.30981,8.54180908203125,3.5534759759902954,3.3576,166.49000549316406,2.31566,-0.880548,0.730684,2.31566,0.880548,4.02576,723.1,4.986896551,723.1,4.986896551,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Alejandro Kirk","TOR",122.257,483.861,427.656,114.119,79.1325,19.4164,0.243483,15.3261,52.2191,63.2218,47.1836,1.73823,60.4293,3.59282,5.21412,0.214334,12.2244,0.851952,0.154795,0.266847,0.0975148,0.12489,0.780806,0.340941,0.4209,0.331528,0.761841,0.154053,1.73235,0.276641,-1.3712,-0.739142,64.429,7.2571,113.525,-2.11034,1.9379,5.60265040397644,10.489201664924622,3.35028,154.60000610351562,2.24773,0.525477,0.796098,2.24773,-0.525477,3.93854,561.4,4.601639344,561.4,4.601639344,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Willy Adames","SFG",151.787,649.13,569.934,131.831,77.5956,26.4359,1.20203,26.598,83.4965,83.8741,69.673,1.80967,165.341,3.74656,5.58727,0.189202,7.71125,11.3069,3.4263,0.23131,0.107333,0.254711,0.421391,0.316286,0.421918,0.320328,0.738204,0.190608,4.29977,0.274343,-0.0437404,-0.126763,80.533,3.83326,104.757,-0.170503,-0.329181,3.4791417121887207,6.697974771261215,3.28899,131.27000427246094,3.12811,0.126975,1.1079,3.12811,-0.126975,3.5228,738.6,4.859210526,738.6,4.859210526,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Gabriel Moreno","ARI",112.664,440.214,391.94,107.876,75.6837,20.389,1.15753,10.6462,52.719,54.0151,41.3503,2.04524,76.2184,3.34333,3.34916,0.231353,9.58473,4.3169,1.65966,0.275237,0.0939321,0.173139,0.542524,0.346763,0.414653,0.332074,0.761416,0.139416,3.51231,0.315248,0.231332,-0.597468,58.8122,6.79745,112.082,-0.366136,3.6757,5.93759948015213,11.487353801727295,3.28126,178.3800048828125,1.06853,0.89245,0.946402,1.06853,-0.89245,3.73813,513.9,4.54778761,513.9,4.54778761,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Maikel Garcia","KCR",150.031,639.906,576.784,154.397,106.437,31.5626,4.09922,12.2982,83.0103,65.0802,53.2226,0.418819,95.1302,1.6062,5.24085,3.05176,11.2329,26.1452,6.79942,0.267685,0.0831725,0.148663,0.559471,0.32853,0.400587,0.318428,0.729117,0.132901,6.14087,0.299409,0.457258,1.38271,78.4013,2.79151,103.452,1.83997,3.45313,4.4504746198654175,5.865905284881592,3.27129,68.66999816894531,2.676,-0.737539,1.06978,2.676,0.737539,3.57362,708.6,4.724,708.6,4.724,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Nick Kurtz","ATH",142.332,576.338,514.047,134.838,69.2836,26.2776,1.6452,37.632,93.8428,94.9899,54.4398,3.55619,176.686,3.61179,3.66136,0.578263,7.08559,3.07823,1.00091,0.262307,0.094458,0.306566,0.308116,0.335018,0.539449,0.368935,0.874467,0.277142,3.84861,0.3204,0.0319996,-0.611393,94.2467,26.1479,138.147,-0.579393,-2.693,25.40544706583023,-13.924989461898804,3.17028,16.780000686645508,3.283,0.413654,1.31375,3.283,-0.413654,3.24834,862.9,6.076760563,862.9,6.076760563,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Adley Rutschman","BAL",137.646,559.623,491.926,122.598,79.4992,25.3671,1.05174,16.6798,64.1792,63.9033,60.2019,1.80866,89.176,2.90762,4.35112,0.236697,9.86659,0.842854,0.283888,0.24922,0.107576,0.15935,0.67509,0.331984,0.406785,0.322891,0.738769,0.157565,2.36078,0.271292,-0.355466,-0.877202,70.5926,4.46884,108.415,-1.23267,1.18856,4.317962646484375,7.121577143669128,3.14108,152.82000732421875,2.87323,-0.74807,0.392486,2.87323,0.74807,4.47669,625.7,4.534057971,625.7,4.534057971,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Jacob Wilson","ATH",137.906,575.489,531.492,155.95,113.855,30.0984,1.37591,10.621,71.7565,64.1244,31.4585,0.748726,50.9346,6.99691,3.06592,2.47551,15.7542,5.8036,1.84738,0.293419,0.0546639,0.0885066,0.617624,0.339268,0.415177,0.328965,0.754445,0.121757,3.87743,0.307248,-0.0512468,-0.596372,75.4323,7.43379,110.69,-0.647619,-1.70982,6.623393416404724,4.529619812965393,3.13384,183.50999450683594,2.36549,0.274122,1.46939,2.36549,-0.274122,3.04082,658.5,4.77173913,658.5,4.77173913,,,,,,,,,,,,,,,,,,,"Jacob Wilson","33266",805779
