Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Reese McGuire","MIL",19.124,69.536,63.5837,13.7143,9.17443,2.45399,0.172653,1.91325,6.4093,7.77059,4.19357,0.0975729,16.6524,0.614652,0.42402,0.503579,1.22984,0.43675,0.152528,0.215689,0.060308,0.239479,0.25183,0.269161,0.349986,0.270898,0.619146,0.134296,3.18217,0.259695,,-0.0667777,5.83618,-2.38004,71.9137,-0.0667777,0.15,-2.3814964666962624,1.6256172955036163,0.159362,999,,,,,,,54,2.842105263,54,2.842105263,,,,,,,,,,,,,,,,,,,"Reese McGuire","15674",624512
"Zach Cole","HOU",90.512,354.578,319.164,64.5581,38.4685,12.6252,2.5406,10.9238,41.4261,35.3491,28.3948,1.71728,141.422,4.75544,1.85337,0.409975,3.97404,8.03064,1.8845,0.202272,0.0800806,0.398845,0.200781,0.275881,0.360428,0.27781,0.63631,0.158156,6.31268,0.317979,,0.372926,31.7495,-10.1466,76.4918,0.372926,1.09,-9.451437026262283,-1.2064176797866821,0.15819,999,,,,,,,311.8,3.426373626,311.8,3.426373626,,,,,,,,,,,,,,,,,,,"Zach Cole","31583",805904
"Alan Roden","MIN",48.442,178.842,160.277,39.5884,28.8651,7.6779,0.828717,2.21667,19.365,15.2265,13.6651,0.534462,30.5702,3.49209,1.16939,0.238003,4.01717,2.93806,0.784387,0.246999,0.0764087,0.170934,0.447007,0.317717,0.346734,0.294908,0.664451,0.0997355,4.83019,0.290469,,-0.0339044,18.4965,-2.63503,86.9368,-0.0339044,0.68,-2.787440352141857,-1.8227067589759827,0.158104,999,,,,,,,165.6,3.45,165.6,3.45,,,,,,,,,,,,,,,,,,,"Alan Roden","31564",702176
"Nacho Alvarez Jr.","ATL",16.219,55.794,50.2581,12.0898,8.84214,2.05191,0.22952,0.966253,6.06095,5.08371,4.23371,0.139299,11.6163,0.857427,0.296233,0.148564,1.10108,0.737914,0.299013,0.240555,0.0758812,0.2082,0.364464,0.308758,0.348194,0.291032,0.656952,0.107639,4.46648,0.292943,,-0.0659317,5.59485,-0.997642,84.4804,-0.0659317,0.01,-1.092204786837101,0.7608796451240778,0.156022,999,,,,,,,49.3,3.08125,49.3,3.08125,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"Ty France","SDP",40.873,162.891,146.682,36.7493,26.6393,5.93986,0.224814,3.94534,17.4008,17.4753,9.45151,0.143709,29.6637,5.28157,1.26693,0.209433,4.13186,0.299057,0.153358,0.250538,0.0580235,0.182107,0.318622,0.316461,0.37479,0.305088,0.691251,0.124252,2.3814,0.2869,,-0.275169,18.1932,-1.05366,98.3189,-0.275169,0.01,-0.5997155606746674,-3.32399701140821,0.15303,999,,,,,,,157.2,3.834146341,157.2,3.834146341,,,,,,,,,,,,,,,,,,,"Ty France","17982",664034
"Oswald Peraza","LAA",60.634,215.134,196.335,42.3662,28.1811,7.80322,0.503731,5.87816,23.7191,19.872,14.5233,0.280096,57.3082,2.8167,1.05425,0.404602,3.54405,7.61632,1.89983,0.215785,0.0675081,0.266384,0.253424,0.278053,0.350479,0.276494,0.628533,0.134694,5.36063,0.271887,,0.446583,19.0337,-6.38605,73.8321,0.446583,0.23,-6.188563376665115,0.27455759048461914,0.152503,999,,,,,,,188.1,3.083606557,188.1,3.083606557,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Christopher Morel","MIA",86.73,332.12,296.556,65.851,37.8248,13.7769,1.00931,13.24,39.5399,41.4708,29.482,0.624492,100.649,3.48162,2.15317,0.447211,4.83437,6.98329,2.29152,0.222053,0.0887693,0.303051,0.292919,0.297928,0.409254,0.30711,0.707182,0.187201,4.73981,0.284661,,-0.00495942,37.6394,-1.60311,94.6243,-0.00495942,-0.46,-2.121004892513156,-7.443091839551926,0.151997,999,,,,,,,344.8,3.96321839,344.8,3.96321839,,,,,,,,,,,,,,,,,,,"Christopher Morel","21897",666624
"DJ LeMahieu",,30.41,108.74,97.5845,23.0394,17.4175,3.54482,0.236186,1.8409,11.1087,9.95177,9.82258,0.0677929,23.5284,0.444228,0.594748,0.293948,3.02436,0.34314,0.159578,0.236097,0.0903309,0.216373,0.417478,0.307123,0.333858,0.286019,0.64098,0.0977604,2.7307,0.291149,,-0.179037,10.4615,-2.38692,81.1885,-0.179037,0,-2.5967153906822205,0.3995443880558014,0.151736,999,,,,,,,91.2,3.04,91.2,3.04,,,,,,,,,,,,,,,,,,,"DJ LeMahieu","9874",518934
"Luis Rengifo","MIL",106.864,424.643,390.693,93.739,70.2988,15.6003,2.11539,5.72451,43.3293,38.523,26.209,0.410197,76.639,3.8425,2.75783,1.14063,8.25009,12.2778,4.03074,0.23993,0.06172,0.180479,0.34198,0.292302,0.334645,0.27699,0.626947,0.0947152,5.28722,0.282925,,0.145125,37.7406,-12.4343,76.0866,0.145125,-2.41,-11.890256315469742,-0.7608643770217896,0.151101,611.2100219726562,,,,,,,351.2,3.28224299,351.2,3.28224299,,,,,,,,,,,,,,,,,,,"Luis Rengifo","19858",650859
"Esteury Ruiz","MIA",34.284,108.516,97.9798,22.9969,16.3055,4.08941,0.702762,1.89929,13.9894,8.08274,7.01157,0.111658,25.4513,2.22081,0.649927,0.623449,1.41112,9.03904,1.94776,0.234711,0.0646132,0.23454,0.275489,0.298801,0.348947,0.286458,0.647748,0.114236,7.67473,0.295986,,0.842312,10.4787,-2.34329,80.4774,0.842312,-0.66,-1.6685685515403748,-0.5277315229177475,0.144675,745.510009765625,,,,,,,105.4,3.1,105.4,3.1,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
